p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
.,r,.,.,.,.,k,.,p,.,.,.,q,.,p,p,.,p,R,.,p,.,r,.,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,.,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,.,Q,.,.,K,.,white,Qc1,d1c1
.,r,.,.,.,.,k,.,p,.,.,.,q,.,p,.,.,p,R,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,.,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,Q,.,.,.,K,.,white,Rc8+,c6c8
.,.,r,.,.,.,k,.,p,.,.,.,q,.,p,.,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,.,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,Q,.,.,.,K,.,white,Qxc8+,c1c8
.,.,Q,.,.,.,.,.,p,.,.,.,q,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,.,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,.,.,.,.,K,.,white,Qc1,c8c1
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,q,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,Q,.,.,.,K,.,white,Qd1,c1d1
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,q,.,.,P,.,.,P,R,.,.,P,B,.,.,.,.,P,P,.,.,.,Q,.,.,K,.,white,Qe2,d1e2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,.,P,q,.,.,P,.,.,P,R,.,.,P,B,.,n,Q,.,P,P,.,.,.,.,.,.,K,.,white,Rf2,f3f2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,.,P,.,.,.,P,.,.,P,.,.,.,P,B,.,n,q,R,P,P,.,.,.,.,.,.,K,.,white,Rxe2,f2e2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,p,.,.,.,p,P,p,.,.,.,.,.,.,n,P,.,.,.,P,.,.,P,.,.,.,P,B,.,.,R,.,P,P,.,.,.,.,.,.,K,.,white,Rc2,e2c2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,p,k,.,p,.,.,p,.,r,.,.,.,.,p,P,p,.,p,.,.,.,.,n,P,.,.,.,P,.,.,P,.,.,.,P,B,R,.,.,.,P,P,.,.,.,.,.,.,K,.,white,Rc7,c2c7
.,.,.,.,.,.,.,.,p,.,R,.,.,.,p,k,.,p,.,.,p,.,r,.,.,.,.,p,P,p,.,p,.,.,.,.,.,P,.,.,.,P,.,.,P,.,.,.,P,B,.,n,.,.,P,P,.,.,.,.,.,.,K,.,white,Rxa7,c7a7
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,black,Nf6,g8f6
r,n,b,q,k,b,.,r,p,p,p,p,p,p,p,p,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,B,P,P,P,P,P,P,R,N,.,Q,K,B,N,R,black,g6,g7g6
r,n,b,q,k,b,.,r,p,p,p,p,p,p,.,p,.,.,.,.,.,n,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,P,.,.,.,P,B,P,P,.,P,P,P,R,N,.,Q,K,B,N,R,black,Bg7,f8g7
r,n,b,q,k,.,.,r,p,p,p,p,p,p,b,p,.,.,.,.,.,n,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,P,N,.,.,P,B,P,P,.,P,P,P,R,N,.,Q,K,B,.,R,black,O-O,e8g8
r,n,b,q,.,r,k,.,p,p,p,p,p,p,b,p,.,.,.,.,.,n,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,P,N,.,.,P,B,.,P,.,P,P,P,R,N,.,Q,K,B,.,R,black,c5,c7c5
r,n,b,q,.,r,k,.,p,p,.,p,p,p,b,p,.,.,.,.,.,n,p,.,.,.,p,.,.,.,.,.,.,.,P,P,.,.,.,.,.,P,.,.,P,N,.,.,P,B,.,.,.,P,P,P,R,N,.,Q,K,B,.,R,black,d5,d7d5
r,n,b,q,.,r,k,.,p,p,.,.,p,p,b,p,.,.,.,.,.,n,p,.,.,.,p,p,.,.,.,.,.,.,P,P,.,.,.,.,.,P,.,B,P,N,.,.,P,B,.,.,.,P,P,P,R,N,.,Q,K,.,.,R,black,Nc6,b8c6
r,.,b,q,.,r,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,p,p,.,.,.,.,.,.,P,P,.,.,.,.,.,P,.,B,P,N,.,.,P,B,.,.,.,P,P,P,R,N,.,Q,.,R,K,.,black,Bg4,c8g4
r,.,.,q,.,r,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,P,p,.,.,.,.,.,.,P,.,.,.,b,.,.,P,.,B,P,N,.,.,P,B,.,.,.,P,P,P,R,N,.,Q,.,R,K,.,black,dxc4,d5c4
r,.,.,q,.,r,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,P,.,.,.,.,.,.,.,B,.,.,.,b,.,.,P,.,.,P,N,.,.,P,B,.,.,.,P,P,P,R,N,.,Q,.,R,K,.,black,Qa5,d8a5
r,.,.,.,.,r,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,q,.,P,.,.,.,.,.,.,.,B,.,.,.,b,.,.,P,.,.,P,N,.,P,P,B,.,.,.,P,P,.,R,N,.,Q,.,R,K,.,black,Rfd8,f8d8
r,.,.,r,.,.,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,q,.,P,.,.,.,.,.,.,.,B,.,.,.,b,.,.,P,.,.,P,N,.,P,P,B,.,.,Q,P,P,.,R,N,.,.,.,R,K,.,black,Bxf3,g4f3
r,.,.,r,.,.,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,q,.,P,.,.,.,.,.,.,.,B,.,.,.,.,.,.,P,.,.,P,Q,.,P,P,B,.,.,.,P,P,.,R,N,.,.,.,R,K,.,black,Qxc5,a5c5
r,.,.,r,.,.,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,q,.,.,.,.,.,.,.,B,.,.,.,.,.,.,P,.,.,P,Q,.,P,P,B,.,.,.,P,P,.,R,N,.,R,.,.,K,.,black,Rxd1+,d8d1
r,.,.,.,.,.,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,q,.,.,.,.,.,.,.,B,.,.,.,.,.,.,P,.,.,P,.,.,P,P,B,.,.,.,P,P,.,R,N,.,Q,.,.,K,.,black,Rd8,a8d8
.,.,.,r,.,.,k,.,p,p,.,.,p,p,b,p,.,.,n,.,.,n,p,.,.,.,q,.,.,.,.,.,.,.,B,.,.,.,.,.,.,P,.,.,P,.,.,P,P,B,.,.,Q,P,P,.,R,N,.,.,.,.,K,.,black,Ne4,f6e4
.,.,.,r,.,.,k,.,p,p,.,.,p,p,B,p,.,.,n,.,.,.,p,.,.,.,q,.,.,.,.,.,.,.,B,.,n,.,.,.,.,P,.,.,P,.,.,P,P,.,.,.,Q,P,P,.,R,N,.,.,.,.,K,.,black,Kxg7,g8g7
.,.,.,r,.,.,.,.,p,p,.,.,p,p,k,p,.,.,n,.,.,.,p,.,.,.,q,.,.,.,.,.,.,.,B,.,n,.,.,.,.,P,.,.,P,.,.,P,P,Q,.,.,.,P,P,.,R,N,.,.,.,.,K,.,black,e5,e7e5
.,.,.,r,.,.,.,.,p,p,.,.,.,p,k,p,.,.,n,.,.,.,p,.,.,.,q,.,p,.,.,.,.,.,B,.,n,.,.,.,.,P,N,.,P,.,.,P,P,Q,.,.,.,P,P,.,R,.,.,.,.,.,K,.,black,Nxc3,e4c3
.,.,.,r,.,.,.,.,p,p,.,.,.,p,k,p,.,.,n,.,.,.,p,.,.,.,q,.,p,.,.,.,.,.,B,.,.,.,.,.,.,P,Q,.,P,.,.,P,P,.,.,.,.,P,P,.,R,.,.,.,.,.,K,.,black,b5,b7b5
.,.,.,r,.,.,.,.,p,.,.,.,.,p,k,p,.,.,n,.,.,.,p,.,.,p,q,.,p,.,.,.,.,.,B,.,.,.,.,.,.,P,Q,.,P,.,.,P,P,.,.,.,.,P,P,.,.,.,R,.,.,.,K,.,black,bxc4,b5c4
.,.,.,r,.,.,.,.,p,.,.,.,.,p,k,p,.,.,n,.,.,.,p,.,.,.,q,.,p,.,.,.,.,.,P,.,.,.,.,.,.,.,Q,.,P,.,.,P,P,.,.,.,.,P,P,.,.,.,R,.,.,.,K,.,black,h5,h7h5
.,.,.,r,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,.,.,p,.,.,.,q,.,p,.,.,p,.,.,P,.,.,.,.,.,.,.,Q,.,P,.,.,P,P,.,.,.,.,P,P,.,.,R,.,.,.,.,K,.,black,Rd7,d8d7
.,.,.,.,.,.,.,.,p,.,.,r,.,p,k,.,.,.,n,.,.,.,p,.,.,R,q,.,p,.,.,p,.,.,P,.,.,.,.,.,.,.,Q,.,P,.,.,P,P,.,.,.,.,P,P,.,.,.,.,.,.,.,K,.,black,Rd1+,d7d1
.,.,.,.,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,.,.,p,.,.,R,q,.,p,.,.,p,.,.,P,.,.,.,.,.,.,.,Q,.,P,.,.,P,P,.,.,.,.,P,P,K,.,.,.,r,.,.,.,.,black,Qd6,c5d6
.,.,.,.,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,q,.,.,p,.,.,R,.,.,p,.,.,p,.,.,P,.,.,P,.,.,.,.,Q,.,P,.,.,P,P,.,.,.,.,.,P,K,.,.,.,r,.,.,.,.,black,Rd3,d1d3
.,.,.,.,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,q,.,.,p,.,.,R,.,.,P,.,.,p,.,.,P,.,.,.,.,.,.,.,Q,r,P,.,.,P,P,.,.,.,.,.,P,K,.,.,.,.,.,.,.,.,black,Qd8,d6d8
.,.,.,q,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,.,.,p,.,.,R,.,.,P,.,.,p,.,.,P,.,.,.,.,.,.,.,.,r,P,.,.,P,P,Q,.,.,.,.,P,K,.,.,.,.,.,.,.,.,black,Rd2,d3d2
.,.,.,q,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,.,.,p,.,.,R,.,.,P,.,.,p,.,.,P,.,.,.,.,.,.,.,Q,.,P,.,.,P,P,.,.,r,.,.,P,K,.,.,.,.,.,.,.,.,black,Qd3,d8d3
.,.,.,.,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,.,.,p,.,.,R,.,.,P,.,.,p,.,.,P,.,.,.,.,.,.,.,.,q,P,.,.,P,P,.,.,r,.,.,P,K,Q,.,.,.,.,.,.,.,black,Qe2,d3e2
.,.,.,.,.,.,.,.,p,.,.,.,.,p,k,.,.,.,n,.,P,.,p,.,.,R,.,.,.,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,P,.,.,P,P,.,.,r,q,.,P,K,Q,.,.,.,.,.,.,.,black,f6,f7f6
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,n,.,P,p,p,.,.,.,.,.,.,.,R,p,.,.,P,.,.,.,.,.,.,.,.,.,P,.,.,P,P,.,.,r,q,.,P,K,Q,.,.,.,.,.,.,.,black,Qxe3,e2e3
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,n,.,P,p,p,.,.,.,.,.,.,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,q,.,R,P,P,.,.,r,.,.,P,K,Q,.,.,.,.,.,.,.,black,Qxe6,e3e6
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,n,.,q,p,p,.,.,.,.,.,.,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,.,.,R,P,P,.,.,r,.,.,P,K,.,Q,.,.,.,.,.,.,black,Ne5,c6e5
.,.,.,.,.,.,.,.,p,Q,.,.,.,.,k,.,.,.,.,.,q,p,p,.,.,.,.,.,n,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,.,.,R,P,P,.,.,r,.,.,P,K,.,.,.,.,.,.,.,.,black,Qd7,e6d7
.,.,.,.,.,.,.,.,p,.,.,q,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,.,Q,.,.,.,.,.,.,.,.,.,R,P,P,.,.,r,.,.,P,K,.,.,.,.,.,.,.,.,black,Rd1,d2d1
.,.,.,.,.,.,.,.,p,.,.,q,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,.,.,R,P,P,.,.,.,Q,.,P,K,.,.,.,r,.,.,.,.,black,Qd4,d7d4
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,q,.,.,.,.,.,.,.,.,R,.,.,P,P,.,.,.,Q,.,P,K,.,.,.,r,.,.,.,.,black,Rd2,d1d2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,q,.,.,.,.,.,.,.,.,R,.,.,P,P,.,.,r,.,.,P,K,.,.,.,.,Q,.,.,.,black,Rxa2,d2a2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,q,.,.,.,.,.,R,.,.,.,.,.,P,r,.,.,.,.,.,P,K,.,.,.,.,Q,.,.,.,black,Rb2,a2b2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,q,.,.,.,.,.,.,.,.,.,.,.,P,.,R,.,.,.,.,P,K,.,.,.,.,Q,.,.,.,black,Qxb2,d4b2
.,.,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,P,.,q,.,.,.,.,P,K,.,.,.,Q,.,.,.,.,black,Qb8,b2b8
.,q,.,.,.,.,.,.,p,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,.,.,.,.,n,.,.,p,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,.,Q,.,.,.,K,black,Qc7,b8c7
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,d4,d2d4
r,n,b,q,k,b,.,r,p,p,p,p,p,p,p,p,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,c4,c2c4
r,n,b,q,k,b,.,r,p,p,p,p,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,.,.,r,p,p,p,p,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,b,P,P,.,.,.,.,.,.,.,.,.,N,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,.,R,white,Bd2,c1d2
r,n,b,.,k,.,.,r,p,p,p,p,q,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,b,P,P,.,.,.,.,.,.,.,.,.,N,.,.,P,P,.,B,P,P,P,P,R,N,.,Q,K,B,.,R,white,g3,g2g3
r,n,b,.,k,.,.,r,p,.,p,p,q,p,p,p,.,p,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,b,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,B,P,P,.,P,R,N,.,Q,K,B,.,R,white,Bg2,f1g2
r,n,.,.,k,.,.,r,p,b,p,p,q,p,p,p,.,p,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,b,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,B,P,P,B,P,R,N,.,Q,K,.,.,R,white,O-O,e1g1
r,n,.,.,k,.,.,r,p,b,p,p,q,p,p,p,.,p,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,b,P,P,B,P,R,N,.,Q,.,R,K,.,white,Nbxd2,b1d2
r,n,.,.,.,r,k,.,p,b,p,p,q,p,p,p,.,p,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,N,P,P,B,P,R,.,.,Q,.,R,K,.,white,Qc2,d1c2
r,n,.,.,.,r,k,.,p,b,p,.,q,p,p,p,.,p,.,p,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,Q,N,P,P,B,P,R,.,.,.,.,R,K,.,white,e4,e2e4
r,n,.,.,.,r,k,.,p,b,.,.,q,p,p,p,.,p,.,p,p,n,.,.,.,.,p,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,.,.,.,N,P,.,P,P,Q,N,.,P,B,P,R,.,.,.,.,R,K,.,white,d5,d4d5
r,n,.,.,.,r,k,.,p,b,.,.,q,p,p,p,.,p,.,p,.,n,.,.,.,.,p,P,p,.,.,.,.,.,P,.,P,.,.,.,.,.,.,.,.,N,P,.,P,P,Q,N,.,P,B,P,R,.,.,.,.,R,K,.,white,Ne1,f3e1
r,n,.,.,.,r,k,.,p,b,.,n,q,p,p,p,.,p,.,p,.,.,.,.,.,.,p,P,p,.,.,.,.,.,P,.,P,.,.,.,.,.,.,.,.,.,P,.,P,P,Q,N,.,P,B,P,R,.,.,.,N,R,K,.,white,Nd3,e1d3
r,n,.,.,.,r,k,.,p,b,.,n,.,p,p,p,.,p,.,p,.,.,.,.,.,.,p,P,p,.,q,.,.,.,P,.,P,.,.,.,.,.,.,N,.,.,P,.,P,P,Q,N,.,P,B,P,R,.,.,.,.,R,K,.,white,f4,f2f4
r,n,.,.,.,r,k,.,p,b,.,n,q,p,p,p,.,p,.,p,.,.,.,.,.,.,p,P,p,.,.,.,.,.,P,.,P,P,.,.,.,.,.,N,.,.,P,.,P,P,Q,N,.,.,B,P,R,.,.,.,.,R,K,.,white,f5,f4f5
r,n,.,.,.,r,k,.,p,b,.,n,.,p,p,p,.,p,.,p,.,.,.,.,.,.,p,P,p,P,q,.,.,.,P,.,P,.,.,.,.,.,.,N,.,.,P,.,P,P,Q,N,.,.,B,P,R,.,.,.,.,R,K,.,white,Rae1,a1e1
r,n,.,.,.,r,k,.,p,b,.,.,.,p,p,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,q,.,.,.,P,.,P,.,.,.,.,.,.,N,.,.,P,.,P,P,Q,N,.,.,B,P,.,.,.,.,R,R,K,.,white,Nf3,d2f3
r,n,.,.,.,r,k,.,p,b,.,.,.,p,p,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,.,.,.,P,.,P,.,q,.,.,.,.,N,.,N,P,.,P,P,Q,.,.,.,B,P,.,.,.,.,R,R,K,.,white,Nf2,d3f2
r,n,.,.,.,r,k,.,p,b,.,.,.,p,p,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,.,.,.,.,.,.,N,P,.,P,P,Q,.,.,N,B,P,.,.,.,.,R,R,K,.,white,h3,h2h3
r,n,.,.,.,r,k,.,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,p,q,.,.,P,.,P,.,.,.,.,.,.,.,.,N,P,P,P,P,Q,.,.,N,B,.,.,.,.,.,R,R,K,.,white,g4,g3g4
r,n,.,.,.,r,k,.,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,q,.,.,p,P,p,P,p,.,.,.,P,.,P,.,P,.,.,.,.,.,.,N,.,P,P,P,Q,.,.,N,B,.,.,.,.,.,R,R,K,.,white,h4,h3h4
r,n,.,.,.,r,k,.,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,q,.,.,p,P,p,P,.,.,.,.,P,.,P,.,P,p,.,.,.,.,.,N,.,.,P,P,Q,.,.,N,B,.,.,.,.,.,R,R,K,.,white,g5,g4g5
r,n,.,.,.,r,k,.,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,P,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,.,P,P,Q,.,.,N,B,.,.,.,.,.,R,R,K,.,white,gxf6,g5f6
r,.,.,.,.,r,k,.,p,b,.,n,.,p,.,p,.,p,.,p,.,P,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,.,P,P,Q,.,.,N,B,.,.,.,.,.,R,R,K,.,white,Kh2,g1h2
r,.,.,.,.,r,k,.,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,.,P,P,Q,.,.,N,B,K,.,.,.,.,R,R,.,.,white,Qe2,c2e2
r,.,.,.,.,r,.,k,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,.,P,P,.,.,Q,N,B,K,.,.,.,.,R,R,.,.,white,Bh3,g2h3
r,.,.,.,.,.,r,k,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,B,P,P,.,.,Q,N,.,K,.,.,.,.,R,R,.,.,white,Rg1,f1g1
r,.,.,.,.,.,r,k,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,q,.,.,p,P,p,P,.,.,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,B,P,P,.,.,Q,N,.,K,.,.,.,.,R,.,R,.,white,Qd2,e2d2
r,.,.,.,.,.,r,k,p,b,.,.,.,p,.,p,.,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,.,N,.,B,P,P,.,Q,.,N,.,K,.,.,.,.,R,.,R,.,white,Qe3,d2e3
r,.,.,.,.,.,r,k,p,.,.,.,.,p,.,p,b,p,.,p,.,n,.,.,.,.,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,.,.,.,Q,N,.,B,P,P,.,.,.,N,.,K,.,.,.,.,R,.,R,.,white,b3,b2b3
r,.,.,.,.,.,r,k,p,.,.,.,.,p,.,p,b,.,.,p,.,n,.,.,.,p,p,P,p,P,.,q,.,.,P,.,P,.,.,p,.,P,.,.,Q,N,.,B,P,.,.,.,.,N,.,K,.,.,.,.,R,.,R,.,white,cxb5,c4b5
r,.,.,.,.,.,r,k,p,.,.,.,.,p,.,p,.,.,.,p,.,n,.,.,.,b,p,P,p,P,.,q,.,.,.,.,P,.,.,p,.,P,.,.,Q,N,.,B,P,.,.,.,.,N,.,K,.,.,.,.,R,.,R,.,white,Rxg8+,g1g8
.,.,.,.,.,.,r,k,p,.,.,.,.,p,.,p,.,.,.,p,.,n,.,.,.,b,p,P,p,P,.,q,.,.,.,.,P,.,.,p,.,P,.,.,Q,N,.,B,P,.,.,.,.,N,.,K,.,.,.,.,R,.,.,.,white,Rg1,e1g1
.,.,.,.,.,.,.,k,p,.,.,.,.,p,.,p,.,.,.,p,.,n,.,.,.,b,p,P,p,P,.,q,.,.,.,.,P,.,.,p,.,P,.,.,Q,N,.,B,P,.,.,.,.,N,.,K,.,.,.,.,.,.,r,.,white,Nxg1,f3g1
.,.,.,.,.,.,.,k,.,.,.,.,.,p,.,p,.,.,.,p,.,n,.,.,p,b,p,P,p,P,.,q,.,.,.,.,P,.,.,p,.,P,.,.,Q,.,.,B,P,.,.,.,.,N,.,K,.,.,.,.,.,.,N,.,white,Nf3,g1f3
.,.,.,.,.,.,.,k,.,.,.,.,.,p,.,.,.,.,.,p,.,n,.,p,p,b,p,P,p,P,.,q,.,.,.,.,P,.,.,p,.,P,.,.,Q,N,.,B,P,.,.,.,.,N,.,K,.,.,.,.,.,.,.,.,white,a4,a2a4
.,.,.,.,.,.,.,k,.,.,.,.,.,p,.,.,b,.,.,p,.,n,.,p,p,.,p,P,p,P,.,q,P,.,.,.,P,.,.,p,.,P,.,.,Q,N,.,B,.,.,.,.,.,N,.,K,.,.,.,.,.,.,.,.,white,Nd2,f3d2
.,.,.,.,.,.,.,k,.,.,.,.,.,p,.,.,.,.,.,p,.,n,.,p,p,.,p,P,p,P,.,q,P,.,.,.,P,.,.,p,.,P,.,.,Q,.,.,B,.,.,.,N,b,N,.,K,.,.,.,.,.,.,.,.,white,Nc4,d2c4
.,.,.,.,.,.,.,k,.,.,.,.,.,p,.,.,.,.,.,p,.,n,.,p,p,.,p,P,p,P,.,q,P,.,b,.,P,.,.,p,.,P,.,.,Q,.,.,B,.,.,.,.,.,N,.,K,.,.,.,.,.,.,.,.,white,bxc4,b3c4
.,.,.,.,.,.,.,.,.,.,.,.,.,p,k,.,.,.,.,p,.,n,.,p,p,.,p,P,p,P,.,q,P,.,P,.,P,.,.,p,.,.,.,.,Q,.,.,B,.,.,.,.,.,N,.,K,.,.,.,.,.,.,.,.,white,Bf1,h3f1
.,.,.,.,.,.,.,.,.,.,.,.,.,p,k,.,.,.,.,p,.,n,.,p,p,.,p,P,p,P,.,.,P,.,P,.,P,.,q,p,.,.,.,.,Q,.,.,.,.,.,.,.,.,N,.,K,.,.,.,.,.,B,.,.,white,Be2,f1e2
.,.,.,.,.,.,.,.,.,.,.,.,.,p,k,.,.,.,.,p,.,n,.,p,p,.,p,P,p,P,q,.,P,.,P,.,P,.,.,p,.,.,.,.,Q,.,.,.,.,.,.,.,B,N,.,K,.,.,.,.,.,.,.,.,white,Qxg5+,e3g5
.,.,.,.,.,.,.,.,.,.,.,.,.,p,k,.,.,.,.,p,.,n,.,.,p,.,p,P,p,P,p,.,P,.,P,.,P,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,B,N,.,K,.,.,.,.,.,.,.,.,white,Bf3,e2f3
.,.,.,.,.,.,.,.,.,.,.,n,.,p,k,.,.,.,.,p,.,.,.,.,p,.,p,P,p,P,p,.,P,.,P,.,P,.,.,p,.,.,.,.,.,B,.,.,.,.,.,.,.,N,.,K,.,.,.,.,.,.,.,.,white,Bd1,f3d1
